_id,type,model
ObjectId(6284be12d4851a5591985485),laptop,qw2
ObjectId(6284be12d4851a5591985486),laptop,kz
ObjectId(6284be12d4851a5591985487),laptop,ay9
ObjectId(6284be12d4851a5591985488),laptop,zeta
ObjectId(6284be12d4851a5591985489),laptop,jl3
ObjectId(6284be12d4851a559198548a),laptop,ki2
ObjectId(6284be12d4851a559198548b),laptop,ki2
ObjectId(6284be12d4851a559198548c),laptop,c6
ObjectId(6284be12d4851a559198548d),laptop,qw2
ObjectId(6284be12d4851a559198548e),laptop,ay9
ObjectId(6284be12d4851a559198548f),laptop,zeta
ObjectId(6284be12d4851a5591985490),laptop,zeta
ObjectId(6284be12d4851a5591985491),laptop,kz
ObjectId(6284be12d4851a5591985492),laptop,j3
ObjectId(6284be12d4851a5591985493),laptop,qw2
ObjectId(6284be12d4851a5591985494),laptop,k12
ObjectId(6284be12d4851a5591985495),laptop,qw2
ObjectId(6284be12d4851a5591985496),laptop,k12
ObjectId(6284be12d4851a5591985497),laptop,kz
ObjectId(6284be12d4851a5591985498),laptop,c6
ObjectId(6284be12d4851a5591985499),laptop,ki2
ObjectId(6284be12d4851a559198549a),laptop,k12
ObjectId(6284be12d4851a559198549b),laptop,k12
ObjectId(6284be12d4851a559198549c),laptop,qw2
ObjectId(6284be12d4851a559198549d),laptop,ki2
ObjectId(6284be12d4851a559198549e),laptop,k12
ObjectId(6284be12d4851a559198549f),laptop,ay9
ObjectId(6284be12d4851a55919854a0),laptop,ay9
ObjectId(6284be12d4851a55919854a1),laptop,zeta
ObjectId(6284be12d4851a55919854a2),laptop,ay9
ObjectId(6284be12d4851a55919854a3),laptop,k12
ObjectId(6284be12d4851a55919854a4),laptop,ki2
ObjectId(6284be12d4851a55919854a5),laptop,j3
ObjectId(6284be12d4851a55919854a6),laptop,kz
ObjectId(6284be12d4851a55919854a7),laptop,ay9
ObjectId(6284be12d4851a55919854a8),laptop,k12
ObjectId(6284be12d4851a55919854a9),laptop,jl3
ObjectId(6284be12d4851a55919854aa),laptop,kz
ObjectId(6284be12d4851a55919854ab),laptop,ay9
ObjectId(6284be12d4851a55919854ac),laptop,j3
ObjectId(6284be12d4851a55919854ad),laptop,ay9
ObjectId(6284be12d4851a55919854ae),laptop,c6
ObjectId(6284be12d4851a55919854af),laptop,j3
ObjectId(6284be12d4851a55919854b0),laptop,kz
ObjectId(6284be12d4851a55919854b1),laptop,ay9
ObjectId(6284be12d4851a55919854b2),laptop,kz
ObjectId(6284be12d4851a55919854b3),laptop,c6
ObjectId(6284be12d4851a55919854b4),laptop,k12
ObjectId(6284be12d4851a55919854b5),laptop,k12
ObjectId(6284be12d4851a55919854b6),laptop,kz
ObjectId(6284be12d4851a55919854b7),laptop,kz
ObjectId(6284be12d4851a55919854b8),laptop,k12
ObjectId(6284be12d4851a55919854b9),laptop,ay9
ObjectId(6284be12d4851a55919854ba),laptop,kz
ObjectId(6284be12d4851a55919854bb),laptop,ay9
ObjectId(6284be12d4851a55919854bc),laptop,j3
ObjectId(6284be12d4851a55919854bd),laptop,qw2
ObjectId(6284be12d4851a55919854be),laptop,c6
ObjectId(6284be12d4851a55919854bf),laptop,c6
ObjectId(6284be12d4851a55919854c0),laptop,kz
ObjectId(6284be12d4851a55919854c1),laptop,ki2
ObjectId(6284be12d4851a55919854c2),laptop,zeta
ObjectId(6284be12d4851a55919854c3),laptop,ki2
ObjectId(6284be12d4851a55919854c4),laptop,c6
ObjectId(6284be12d4851a55919854c5),laptop,k12
ObjectId(6284be12d4851a55919854c6),laptop,zeta
ObjectId(6284be12d4851a55919854c7),laptop,ki2
ObjectId(6284be12d4851a55919854c8),laptop,ay9
ObjectId(6284be12d4851a55919854c9),laptop,k12
ObjectId(6284be12d4851a55919854ca),laptop,k12
ObjectId(6284be12d4851a55919854cb),laptop,ki2
ObjectId(6284be12d4851a55919854cc),laptop,zeta
ObjectId(6284be12d4851a55919854cd),laptop,qw2
ObjectId(6284be12d4851a55919854ce),laptop,kz
ObjectId(6284be12d4851a55919854cf),laptop,ay9
ObjectId(6284be12d4851a55919854d0),laptop,jl3
ObjectId(6284be12d4851a55919854d1),laptop,qw2
ObjectId(6284be12d4851a55919854d2),laptop,k12
ObjectId(6284be12d4851a55919854d3),laptop,c6
ObjectId(6284be12d4851a55919854d4),laptop,j3
ObjectId(6284be12d4851a55919854d5),laptop,c6
ObjectId(6284be12d4851a55919854d6),laptop,ki2
ObjectId(6284be12d4851a55919854d7),laptop,zeta
ObjectId(6284be12d4851a55919854d8),laptop,zeta
ObjectId(6284be12d4851a55919854d9),laptop,ay9
ObjectId(6284be12d4851a55919854da),laptop,kz
ObjectId(6284be12d4851a55919854db),laptop,ki2
ObjectId(6284be12d4851a55919854dc),laptop,ay9
ObjectId(6284be12d4851a55919854dd),laptop,kz
ObjectId(6284be12d4851a55919854de),laptop,qw2
ObjectId(6284be12d4851a55919854df),laptop,ki2
ObjectId(6284be12d4851a55919854e0),laptop,ay9
ObjectId(6284be12d4851a55919854e1),laptop,jl3
ObjectId(6284be12d4851a55919854e2),laptop,ki2
ObjectId(6284be12d4851a55919854e3),laptop,c6
ObjectId(6284be12d4851a55919854e4),laptop,jl3
ObjectId(6284be12d4851a55919854e5),laptop,j3
ObjectId(6284be12d4851a55919854e6),laptop,ki2
ObjectId(6284be12d4851a55919854e7),laptop,k12
ObjectId(6284be12d4851a55919854e8),laptop,ki2
ObjectId(6284be12d4851a55919854e9),laptop,k12
ObjectId(6284be12d4851a55919854ea),laptop,jl3
ObjectId(6284be12d4851a55919854eb),laptop,kz
ObjectId(6284be12d4851a55919854ec),laptop,jl3
ObjectId(6284be12d4851a55919854ed),laptop,ay9
ObjectId(6284be12d4851a55919854ee),laptop,k12
ObjectId(6284be12d4851a55919854ef),laptop,c6
ObjectId(6284be12d4851a55919854f0),laptop,zeta
ObjectId(6284be12d4851a55919854f1),laptop,ay9
ObjectId(6284be12d4851a55919854f2),laptop,ay9
ObjectId(6284be12d4851a55919854f3),laptop,zeta
ObjectId(6284be12d4851a55919854f4),laptop,jl3
ObjectId(6284be12d4851a55919854f5),laptop,kz
ObjectId(6284be12d4851a55919854f6),laptop,ki2
ObjectId(6284be12d4851a55919854f7),laptop,ki2
ObjectId(6284be12d4851a55919854f8),laptop,qw2
ObjectId(6284be12d4851a55919854f9),laptop,j3
ObjectId(6284be12d4851a55919854fa),laptop,zeta
ObjectId(6284be12d4851a55919854fb),laptop,ay9
ObjectId(6284be12d4851a55919854fc),laptop,k12
ObjectId(6284be12d4851a55919854fd),laptop,c6
ObjectId(6284be12d4851a55919854fe),laptop,kz
ObjectId(6284be12d4851a55919854ff),laptop,kz
ObjectId(6284be12d4851a5591985500),laptop,qw2
ObjectId(6284be12d4851a5591985501),laptop,kz
ObjectId(6284be12d4851a5591985502),laptop,j3
ObjectId(6284be12d4851a5591985503),laptop,ay9
ObjectId(6284be12d4851a5591985504),laptop,ki2
ObjectId(6284be12d4851a5591985505),laptop,jl3
ObjectId(6284be12d4851a5591985506),laptop,ki2
ObjectId(6284be12d4851a5591985507),laptop,qw2
ObjectId(6284be12d4851a5591985508),laptop,jl3
ObjectId(6284be12d4851a5591985509),laptop,j3
ObjectId(6284be12d4851a559198550a),laptop,ki2
ObjectId(6284be12d4851a559198550b),laptop,ay9
ObjectId(6284be12d4851a559198550c),laptop,zeta
ObjectId(6284be12d4851a559198550d),laptop,c6
ObjectId(6284be12d4851a559198550e),laptop,c6
ObjectId(6284be12d4851a559198550f),laptop,ki2
ObjectId(6284be12d4851a5591985510),laptop,kz
ObjectId(6284be12d4851a5591985511),laptop,kz
ObjectId(6284be12d4851a5591985512),laptop,k12
ObjectId(6284be12d4851a5591985513),laptop,c6
ObjectId(6284be12d4851a5591985514),laptop,ay9
ObjectId(6284be12d4851a5591985515),laptop,jl3
ObjectId(6284be12d4851a5591985516),laptop,qw2
ObjectId(6284be12d4851a5591985517),laptop,jl3
ObjectId(6284be12d4851a5591985518),laptop,jl3
ObjectId(6284be12d4851a5591985519),laptop,ay9
ObjectId(6284be12d4851a559198551a),laptop,zeta
ObjectId(6284be12d4851a559198551b),laptop,ki2
ObjectId(6284be12d4851a559198551c),laptop,kz
ObjectId(6284be12d4851a559198551d),laptop,c6
ObjectId(6284be12d4851a559198551e),laptop,j3
ObjectId(6284be12d4851a559198551f),laptop,kz
ObjectId(6284be12d4851a5591985520),laptop,j3
ObjectId(6284be12d4851a5591985521),laptop,k12
ObjectId(6284be12d4851a5591985522),laptop,zeta
ObjectId(6284be12d4851a5591985523),laptop,jl3
ObjectId(6284be12d4851a5591985524),laptop,j3
ObjectId(6284be12d4851a5591985525),laptop,qw2
ObjectId(6284be12d4851a5591985526),laptop,jl3
ObjectId(6284be12d4851a5591985527),laptop,c6
ObjectId(6284be12d4851a5591985528),laptop,ay9
ObjectId(6284be12d4851a5591985529),laptop,jl3
ObjectId(6284be12d4851a559198552a),laptop,kz
ObjectId(6284be12d4851a559198552b),laptop,zeta
ObjectId(6284be12d4851a559198552c),laptop,qw2
ObjectId(6284be12d4851a559198552d),laptop,ay9
ObjectId(6284be12d4851a559198552e),laptop,kz
ObjectId(6284be12d4851a559198552f),laptop,j3
ObjectId(6284be12d4851a5591985530),laptop,ki2
ObjectId(6284be12d4851a5591985531),laptop,j3
ObjectId(6284be12d4851a5591985532),laptop,zeta
ObjectId(6284be12d4851a5591985533),laptop,jl3
ObjectId(6284be12d4851a5591985534),laptop,ki2
ObjectId(6284be12d4851a5591985535),laptop,c6
ObjectId(6284be12d4851a5591985536),laptop,j3
ObjectId(6284be12d4851a5591985537),laptop,ay9
ObjectId(6284be12d4851a5591985538),laptop,zeta
ObjectId(6284be12d4851a5591985539),laptop,qw2
ObjectId(6284be12d4851a559198553a),laptop,c6
ObjectId(6284be12d4851a559198553b),laptop,k12
ObjectId(6284be12d4851a559198553c),laptop,ki2
ObjectId(6284be12d4851a559198553d),laptop,c6
ObjectId(6284be12d4851a559198553e),laptop,c6
ObjectId(6284be12d4851a559198553f),laptop,ki2
ObjectId(6284be12d4851a5591985540),laptop,c6
ObjectId(6284be12d4851a5591985541),laptop,k12
ObjectId(6284be12d4851a5591985542),laptop,jl3
ObjectId(6284be12d4851a5591985543),laptop,j3
ObjectId(6284be12d4851a5591985544),laptop,ay9
ObjectId(6284be12d4851a5591985545),laptop,c6
ObjectId(6284be12d4851a5591985546),laptop,j3
ObjectId(6284be12d4851a5591985547),laptop,kz
ObjectId(6284be12d4851a5591985548),laptop,jl3
ObjectId(6284be12d4851a5591985549),laptop,ay9
ObjectId(6284be12d4851a559198554a),laptop,c6
ObjectId(6284be12d4851a559198554b),laptop,zeta
ObjectId(6284be12d4851a559198554c),laptop,kz
ObjectId(6284be12d4851a559198554d),laptop,k12
ObjectId(6284be12d4851a559198554e),laptop,ay9
ObjectId(6284be12d4851a559198554f),laptop,ki2
ObjectId(6284be12d4851a5591985550),laptop,ki2
ObjectId(6284be12d4851a5591985551),laptop,kz
ObjectId(6284be12d4851a5591985552),laptop,k12
ObjectId(6284be12d4851a5591985553),laptop,c6
ObjectId(6284be12d4851a5591985554),laptop,jl3
ObjectId(6284be12d4851a5591985555),laptop,k12
ObjectId(6284be12d4851a5591985556),laptop,j3
ObjectId(6284be12d4851a5591985557),laptop,kz
ObjectId(6284be12d4851a5591985558),laptop,zeta
ObjectId(6284be12d4851a5591985559),laptop,ki2
ObjectId(6284be12d4851a559198555a),laptop,jl3
ObjectId(6284be12d4851a559198555b),laptop,ki2
ObjectId(6284be12d4851a559198555c),laptop,qw2
ObjectId(6284be12d4851a559198555d),laptop,zeta
ObjectId(6284be12d4851a559198555e),laptop,zeta
ObjectId(6284be12d4851a559198555f),laptop,jl3
ObjectId(6284be12d4851a5591985560),laptop,k12
ObjectId(6284be12d4851a5591985561),laptop,c6
ObjectId(6284be12d4851a5591985562),laptop,qw2
ObjectId(6284be12d4851a5591985563),laptop,j3
ObjectId(6284be12d4851a5591985564),laptop,j3
ObjectId(6284be12d4851a5591985565),laptop,c6
ObjectId(6284be12d4851a5591985566),laptop,ay9
ObjectId(6284be12d4851a5591985567),laptop,j3
ObjectId(6284be12d4851a5591985568),laptop,k12
ObjectId(6284be12d4851a5591985569),laptop,qw2
ObjectId(6284be12d4851a559198556a),laptop,zeta
ObjectId(6284be12d4851a559198556b),laptop,c6
ObjectId(6284be12d4851a559198556c),laptop,j3
ObjectId(6284be12d4851a559198556d),laptop,c6
ObjectId(6284be12d4851a559198556e),laptop,qw2
ObjectId(6284be12d4851a559198556f),laptop,qw2
ObjectId(6284be12d4851a5591985570),laptop,c6
ObjectId(6284be12d4851a5591985571),laptop,kz
ObjectId(6284be12d4851a5591985572),laptop,qw2
ObjectId(6284be12d4851a5591985573),laptop,kz
ObjectId(6284be12d4851a5591985574),laptop,kz
ObjectId(6284be12d4851a5591985575),laptop,zeta
ObjectId(6284be12d4851a5591985576),laptop,c6
ObjectId(6284be12d4851a5591985577),laptop,zeta
ObjectId(6284be12d4851a5591985578),laptop,ay9
ObjectId(6284be12d4851a5591985579),laptop,k12
ObjectId(6284be12d4851a559198557a),laptop,ki2
ObjectId(6284be12d4851a559198557b),laptop,qw2
ObjectId(6284be12d4851a559198557c),laptop,ki2
ObjectId(6284be12d4851a559198557d),laptop,jl3
ObjectId(6284be12d4851a559198557e),laptop,ay9
ObjectId(6284be12d4851a559198557f),laptop,c6
ObjectId(6284be12d4851a5591985580),laptop,ay9
ObjectId(6284be12d4851a5591985581),laptop,jl3
ObjectId(6284be12d4851a5591985582),laptop,j3
ObjectId(6284be12d4851a5591985583),laptop,j3
ObjectId(6284be12d4851a5591985584),laptop,qw2
ObjectId(6284be12d4851a5591985585),laptop,k12
ObjectId(6284be12d4851a5591985586),laptop,qw2
ObjectId(6284be12d4851a5591985587),laptop,c6
ObjectId(6284be12d4851a5591985588),laptop,jl3
ObjectId(6284be12d4851a5591985589),laptop,ki2
ObjectId(6284be12d4851a559198558a),laptop,ki2
ObjectId(6284be12d4851a559198558b),laptop,k12
ObjectId(6284be12d4851a559198558c),laptop,jl3
ObjectId(6284be12d4851a559198558d),laptop,j3
ObjectId(6284be12d4851a559198558e),laptop,jl3
ObjectId(6284be12d4851a559198558f),laptop,qw2
ObjectId(6284be12d4851a5591985590),laptop,jl3
ObjectId(6284be12d4851a5591985591),laptop,j3
ObjectId(6284be12d4851a5591985592),laptop,k12
ObjectId(6284be12d4851a5591985593),laptop,jl3
ObjectId(6284be12d4851a5591985594),laptop,zeta
ObjectId(6284be12d4851a5591985595),laptop,qw2
ObjectId(6284be12d4851a5591985596),laptop,ay9
ObjectId(6284be12d4851a5591985597),laptop,jl3
ObjectId(6284be12d4851a5591985598),laptop,zeta
ObjectId(6284be12d4851a5591985599),laptop,jl3
ObjectId(6284be12d4851a559198559a),laptop,zeta
ObjectId(6284be12d4851a559198559b),laptop,k12
ObjectId(6284be12d4851a559198559c),laptop,c6
ObjectId(6284be12d4851a559198559d),laptop,kz
ObjectId(6284be12d4851a559198559e),laptop,ki2
ObjectId(6284be12d4851a559198559f),laptop,c6
ObjectId(6284be12d4851a55919855a0),laptop,kz
ObjectId(6284be12d4851a55919855a1),laptop,qw2
ObjectId(6284be12d4851a55919855a2),laptop,j3
ObjectId(6284be12d4851a55919855a3),laptop,j3
ObjectId(6284be12d4851a55919855a4),laptop,j3
ObjectId(6284be12d4851a55919855a5),laptop,jl3
ObjectId(6284be12d4851a55919855a6),laptop,zeta
ObjectId(6284be12d4851a55919855a7),laptop,zeta
ObjectId(6284be12d4851a55919855a8),laptop,zeta
ObjectId(6284be12d4851a55919855a9),laptop,jl3
ObjectId(6284be12d4851a55919855aa),laptop,jl3
ObjectId(6284be12d4851a55919855ab),laptop,ki2
ObjectId(6284be12d4851a55919855ac),laptop,k12
ObjectId(6284be12d4851a55919855ad),laptop,c6
ObjectId(6284be12d4851a55919855ae),laptop,jl3
ObjectId(6284be12d4851a55919855af),laptop,ki2
ObjectId(6284be12d4851a55919855b0),laptop,k12
ObjectId(6284be12d4851a55919855b1),laptop,k12
ObjectId(6284be12d4851a55919855b2),laptop,zeta
ObjectId(6284be12d4851a55919855b3),laptop,qw2
ObjectId(6284be12d4851a55919855b4),laptop,zeta
ObjectId(6284be12d4851a55919855b5),laptop,j3
ObjectId(6284be12d4851a55919855b6),laptop,ki2
ObjectId(6284be12d4851a55919855b7),laptop,jl3
ObjectId(6284be12d4851a55919855b8),laptop,ki2
ObjectId(6284be12d4851a55919855b9),laptop,ay9
ObjectId(6284be12d4851a55919855ba),laptop,ay9
ObjectId(6284be12d4851a55919855bb),laptop,kz
ObjectId(6284be12d4851a55919855bc),laptop,zeta
ObjectId(6284be12d4851a55919855bd),laptop,j3
ObjectId(6284be12d4851a55919855be),laptop,kz
ObjectId(6284be12d4851a55919855bf),laptop,qw2
ObjectId(6284be12d4851a55919855c0),laptop,c6
ObjectId(6284be12d4851a55919855c1),television,jk23
ObjectId(6284be12d4851a55919855c2),laptop,qw2
ObjectId(6284be12d4851a55919855c3),laptop,qw2
ObjectId(6284be12d4851a55919855c4),laptop,kz
ObjectId(6284be12d4851a55919855c5),laptop,zeta
ObjectId(6284be12d4851a55919855c6),laptop,ay9
ObjectId(6284be12d4851a55919855c7),laptop,j3
ObjectId(6284be12d4851a55919855c8),laptop,j3
ObjectId(6284be12d4851a55919855c9),laptop,qw2
ObjectId(6284be12d4851a55919855ca),laptop,zeta
ObjectId(6284be12d4851a55919855cb),laptop,c6
ObjectId(6284be12d4851a55919855cc),laptop,j3
ObjectId(6284be12d4851a55919855cd),laptop,ay9
ObjectId(6284be12d4851a55919855ce),television,jk23
ObjectId(6284be12d4851a55919855cf),television,boom
ObjectId(6284be12d4851a55919855d0),laptop,j3
ObjectId(6284be12d4851a55919855d1),television,jk23
ObjectId(6284be12d4851a55919855d2),television,ss2
ObjectId(6284be12d4851a55919855d3),television,jk23
ObjectId(6284be12d4851a55919855d4),television,ss2
ObjectId(6284be12d4851a55919855d5),television,k20
ObjectId(6284be12d4851a55919855d6),television,jk23
ObjectId(6284be12d4851a55919855d7),television,boom
ObjectId(6284be12d4851a55919855d8),television,dj1
ObjectId(6284be12d4851a55919855d9),television,k20
ObjectId(6284be12d4851a55919855da),television,ss2
ObjectId(6284be12d4851a55919855db),television,k20
ObjectId(6284be12d4851a55919855dc),laptop,j3
ObjectId(6284be12d4851a55919855dd),television,ss2
ObjectId(6284be12d4851a55919855de),television,boom
ObjectId(6284be12d4851a55919855df),television,boom
ObjectId(6284be12d4851a55919855e0),television,k20
ObjectId(6284be12d4851a55919855e1),television,k20
ObjectId(6284be12d4851a55919855e2),television,dj1
ObjectId(6284be12d4851a55919855e3),television,dj1
ObjectId(6284be12d4851a55919855e4),television,dj1
ObjectId(6284be12d4851a55919855e5),television,ss2
ObjectId(6284be12d4851a55919855e6),television,dj1
ObjectId(6284be12d4851a55919855e7),television,boom
